Conrad Veidt
Kurt Vespermann
Otto Wallburg
Gustav von Wangenheim
Hugo Werner-Kahle
Otto Wernicke
Paul Westermeier
Mathias Wieman
Bruno Ziener
Gitta Alpár
Maria Andergast
Hansi Arnstaedt
Elise Aulinger
Lída Baarová
Vilma Bekendorf
Maria Beling
Fita Benkhoff
Katja Bennefeld
Ehmi Bessel
Hedda Björnson
Ery Bos
Elga Brink
Carla Carlsen
Lina Carstens
Marieluise Claudius
Inge Conradi
Erika Dannhoff
Charlotte Daudert
Gertrud de Lalsky
Lien Deyers
Leonie Duval
Marta Eggerth
Else Ehser
Maria Eis
Else Elster
Lucie Euler
Gina Falckenberg
Maja Feist
Erna Fentsch
Heli Finkenzeller
Ellen Frank
Ilse Fürstenberg
Käthe Gold
Ursula Grabley
Dolly Haas
Trude Haefelin
Karin Hardt
Lilo Hartmann
Ruth Hellberg
Erika Helmke
Hilde Hildebrand
Carola Höhn
Lizzi Holzschuh
Hedi Höpfner
Marianne Hoppe
Brigitte Horney
Antonie Jaeckel
Hedy Kiesler
Franziska Kinz
Herti Kirchner
Maria Koppenhöfer
Ilse Korseck
Maria Krahn
Hilde Krüger
Hansi Knoteck
Josefine Kramer-Glöckner
Dorit Kreysler
Susi Lanner
Eva L’Arronge
Wera Liessem
Amanda Lindner
Lotte Loebinger
Carsta Löck
Maria Loja
Else Lüders
Karin Lüsebrink
Annie Markart
Trude Marlen
Maria Meißner
Anita Mey
Trude von Molo
Louise Morland
Genia Nikolajewa
Gerti Ober
Edith Oss
Berthe Ostyn
Sabine Peters
Else Quecke
Dolly Raphael
Fee von Reichlin
Claire Reigbert
Rotraut Richter
Annie Rosar
Angela Salloker
Sybille Schmitz
Hilde Schneider
Magda Schneider
Wera Schultz
Ellen Schwanneke
Betty Sedlmayr
Maria Seidler
Charlotte Serda
Hilde Sessak
Emmy Sonnemann
Annemarie Sörensen
Katja Specht
Camilla Spira
Lotte Spira
Annemarie Steinsieck
Rose Stradner
Erika Streithorst
Margit Symo
Gretl Theimer
Hertha Thiele
Dorothea Thiess
Hella Tornegg
Luise Ullrich
Petra Unkel
Jessie Vihrog
Hanna Waag
Lizzi Waldmüller
Grethe Weiser
Elisabeth Wendt
Lotte Werkmeister
Hilde Weissner
Dorothea Wieck
Gertrud Wolle
Martha Ziegler
Wolf Ackva
Wolf Albach-Retty
Günther Ballier
Paul Beckers
Heinz Berghaus
Ernst Biegel
Gerhard Bienert
Horst Birr
Eduard Bornträger
Julius Brandt
Beppo Brem
Felix Bressart
Gaston Briese
Egon Brosig
Hansjoachim Büttner
Conrad Cappi
Claus Clausen
Heinz von Cleve
Volker von Collande
Josef Dahmen
Karl Dannemann
Viktor de Kowa
René Deltgen
Hans Deppe
Jac Diehl
Karl Ludwig Diehl
Fred Döderlein
Will Dohm
Ernst Dumcke
Erich Dunskus
Max Eckard
Josef Egger
Josef Eichheim
Friedrich Ettel
Erich Fiedler
Werner Finck
Walter Franck
Hugo Froelich
Fritz Genschow
Herbert Gernot
Friedrich Gnaß
Fred Goebel
Walter Gross
Gustaf Gründgens
Richard Handwerk
Ferdinand Hart
O. E. Hasse
Emil Hegetschweiler
Karl Hellmer
Hans Henninger
Oskar Höcker
Attila Hörbiger
Herbert Hübner
Jupp Hussels
Fritz Imhoff
Edwin Jürgensen
Ernst Karchow
Paul Kemp
Erich Kestin
Jan Kiepura
Franz Klebusch
Paul Klinger
Charlie Kracker
Otto Kronburger
Wilhelm Paul Krüger
Hans Leibelt
Eberhard Leithoff
Wolfgang Liebeneiner
Albert Lieven
Theo Lingen
Eduard Linkers
Henry Lorenzen
Günther Lüders
Gustav Mahncke
Hermann Mayer-Falkow
Kurt Meisel
Karl Meixner
Bernhard Minetti
Aribert Mog
Hans Moser
Hadrian Maria Netto
Michael von Newlinski
Franz Nicklisch
Erik Ode
Fritz Odemar
Hellmuth Passarge
Harald Paulsen
Kurt Peukert
Rolf Pinegger
Rudolf Platte
Klaus Pohl
Erich Ponto
Hans Pössenbacher
Gustav Püttjer
Louis Ralph
Arthur Reinhardt
Hans Richter
Paul Richter
Richard Romanowsky
Ernst Rotmund
Arthur Reppert
Helmuth Rudolph
Ernst Rückert
Heinz Rühmann
Heinz Salfner
Otto Sauter-Sarto
Franz Schafheitlin
Werner Scharf
Hans Hermann Schaufuß
Joseph Schmidt
Georg H. Schnell
Albrecht Schoenhals
S.O. Schoening
Hugo Schrader
Franz W. Schröder-Schrom
Carl-Heinz Schroth
Rudolf Schündler
Willi Schur
Siegfried Schürenberg
Kurt Seifert
Josef Sieber
Leo Slezak
Hans Söhnker
Hermann Speelmans
Gustl Gstettenbaur
Wolfgang Staudte
Franz Stein
Karel Štěpánek
Hans Stiebner
Werner Stock
Joe Stöckel
Otto Stoeckel
Hans Stüwe
Walther Suessenguth
Luis Trenker
Ernst Udet
Hans Waschatko
Aribert Wäscher
Franz Weber
Franz Weilhammer
Weiß Ferdl
Herbert Weißbach
Heinz Wemper
Eduard Wenck
Ewald Wenck
Carl Wery
Eduard Wesener
Max Weydner
Adolf Wohlbrück
Hans Zesch-Ballot
Ilse Abel
Thea Aichbichler
Rosa Albach-Retty
Käthe Alving
Roma Bahn
Viktoria von Ballasko
Ellen Bang
Maria Bard
Renate Barken
Hildegard Barko
Sigrid Becker
Lilo Bergen
Margot Berger
Ingrid Bergman
Jeanette Bethge
Hedwig Bleibtreu
Gerta Böttcher
Elisabeth Botz
Katharina Brauren
Aenne Bruck
Toni von Bukovics
Monika Burg (Claude Farell)
Gisela von Collande
Vera Comployer
Inge Konradi
Fanny Cotta
Friedl Czepa
Elfriede Datzig
Ursula Deinert
Christa Dilthey
Marina von Ditmar
Berta Drews
Inge Drexel
Elfie Dugal
Anita Düvel
Käthe Dyckhoff
Clementia Egies
Tina Eilers
Margot Erbst
Elvira Erdmann
Elisabeth Eygk
Hertha Feiler
Elisabeth Flickenschildt
Hildegard Fränzel
Jutta Freybe
Janne Furch
Ali Ghito
Suse Graf
Hildegard Grethe
